,Comorbidity,Case_Count,Control_Count,Case_Percentage,Control_Percentage,Odds_ratio,p-value,CI_Lower,CI_Upper,Category,Results Interpretation
1,Acne,480,1697,9.422850412,8.328425599,1.26373827,1.16e-05,1.1409646701995364,1.3997229333869703,Dermatological,"Acne: In the case group, 480 individuals (9.42%) had this condition compared to 1697 individuals (8.33%) in the control group. The odds ratio is 1.26 (95% CI: 1.14-1.40). This association is statistically significant with a p-value of 0.00001."
39,Acute vascular insufficiency of intestine,71,82,1.393796623,0.402434236,3.861650574,1.98e-15,2.809717064937061,5.307418793788251,Cardiovascular,"Acute vascular insufficiency of intestine: In the case group, 71 individuals (1.39%) had this condition compared to 82 individuals (0.40%) in the control group. The odds ratio is 3.86 (95% CI: 2.81-5.31). This association is statistically significant with a p-value of 0.00000."
47,Alcoholism,4,9,0.078523753,0.044169611,1.978465335,0.275318519,0.6092259060341455,6.425079831679507,Other,"Alcoholism: In the case group, 4 individuals (0.08%) had this condition compared to 9 individuals (0.04%) in the control group. The odds ratio is 1.98 (95% CI: 0.61-6.43). This association is not statistically significant with a p-value of 0.27532."
56,Alopecia areata,30,141,0.588928151,0.691990577,0.947009039,0.843743776,0.6384268996711363,1.404743629082159,Other,"Alopecia areata: In the case group, 30 individuals (0.59%) had this condition compared to 141 individuals (0.69%) in the control group. The odds ratio is 0.95 (95% CI: 0.64-1.40). This association is not statistically significant with a p-value of 0.84374."
59,Alzheimer's disease,25,94,0.490773459,0.461327051,1.184005935,0.476491286,0.7615857026387034,1.8407252778749603,Other,"Alzheimer's disease: In the case group, 25 individuals (0.49%) had this condition compared to 94 individuals (0.46%) in the control group. The odds ratio is 1.18 (95% CI: 0.76-1.84). This association is not statistically significant with a p-value of 0.47649."
65,Anorexia nervosa,28,50,0.549666274,0.245386729,2.49423696,0.000208137,1.5701292849902988,3.9622329652099184,Other,"Anorexia nervosa: In the case group, 28 individuals (0.55%) had this condition compared to 50 individuals (0.25%) in the control group. The odds ratio is 2.49 (95% CI: 1.57-3.96). This association is statistically significant with a p-value of 0.00021."
88,Autoimmune hepatitis,49,82,0.96191598,0.402434236,2.662901385,3.25e-07,1.8687393782884207,3.794560048672816,Other,"Autoimmune hepatitis: In the case group, 49 individuals (0.96%) had this condition compared to 82 individuals (0.40%) in the control group. The odds ratio is 2.66 (95% CI: 1.87-3.79). This association is statistically significant with a p-value of 0.00000."
109,Bulimia nervosa,14,47,0.274833137,0.230663526,1.326064838,0.324790115,0.7300063043682137,2.408812011701489,Other,"Bulimia nervosa: In the case group, 14 individuals (0.27%) had this condition compared to 47 individuals (0.23%) in the control group. The odds ratio is 1.33 (95% CI: 0.73-2.41). This association is not statistically significant with a p-value of 0.32479."
138,Cerebrovascular disease,153,638,3.003533569,3.131134668,1.067841046,0.46127868,0.8946749958087525,1.274523715163851,Cardiovascular,"Cerebrovascular disease: In the case group, 153 individuals (3.00%) had this condition compared to 638 individuals (3.13%) in the control group. The odds ratio is 1.07 (95% CI: 0.89-1.27). This association is not statistically significant with a p-value of 0.46128."
170,Contact dermatitis,255,931,5.005889282,4.569100903,1.221280381,0.005923355,1.0626138268833096,1.403638585609423,Dermatological,"Contact dermatitis: In the case group, 255 individuals (5.01%) had this condition compared to 931 individuals (4.57%) in the control group. The odds ratio is 1.22 (95% CI: 1.06-1.40). This association is statistically significant with a p-value of 0.00592."
183,Coronary arteriosclerosis,433,1966,8.500196309,9.648606203,0.980034098,0.729550134,0.8824384497152756,1.088423598895282,Other,"Coronary arteriosclerosis: In the case group, 433 individuals (8.50%) had this condition compared to 1966 individuals (9.65%) in the control group. The odds ratio is 0.98 (95% CI: 0.88-1.09). This association is not statistically significant with a p-value of 0.72955."
189,Dermatomyositis,14,75,0.274833137,0.368080094,0.830806426,0.585991717,0.469473228129431,1.470242126975127,Other,"Dermatomyositis: In the case group, 14 individuals (0.27%) had this condition compared to 75 individuals (0.37%) in the control group. The odds ratio is 0.83 (95% CI: 0.47-1.47). This association is not statistically significant with a p-value of 0.58599."
204,Eczema,131,432,2.571652925,2.120141343,1.351501295,0.003183123,1.111014900737554,1.6440425318995335,Dermatological,"Eczema: In the case group, 131 individuals (2.57%) had this condition compared to 432 individuals (2.12%) in the control group. The odds ratio is 1.35 (95% CI: 1.11-1.64). This association is statistically significant with a p-value of 0.00318."
212,End-stage renal disease,158,803,3.101688261,3.940910876,0.875098689,0.132221715,0.7374814262583174,1.038395935440526,Other,"End-stage renal disease: In the case group, 158 individuals (3.10%) had this condition compared to 803 individuals (3.94%) in the control group. The odds ratio is 0.88 (95% CI: 0.74-1.04). This association is not statistically significant with a p-value of 0.13222."
218,Erectile dysfunction,287,1666,5.634079309,8.176285826,0.764294547,1.94e-05,0.6738349330246601,0.8668979982261581,Other,"Erectile dysfunction: In the case group, 287 individuals (5.63%) had this condition compared to 1666 individuals (8.18%) in the control group. The odds ratio is 0.76 (95% CI: 0.67-0.87). This association is statistically significant with a p-value of 0.00002."
232,Female infertility,109,472,2.139772281,2.316450726,1.028043554,0.788341768,0.8343944173316902,1.2666354507748585,Other,"Female infertility: In the case group, 109 individuals (2.14%) had this condition compared to 472 individuals (2.32%) in the control group. The odds ratio is 1.03 (95% CI: 0.83-1.27). This association is not statistically significant with a p-value of 0.78834."
245,Gingivitis,2,6,0.039261877,0.029446408,1.483775921,0.64477749,0.2994530146784297,7.352041475032722,Other,"Gingivitis: In the case group, 2 individuals (0.04%) had this condition compared to 6 individuals (0.03%) in the control group. The odds ratio is 1.48 (95% CI: 0.30-7.35). This association is not statistically significant with a p-value of 0.64478."
259,Hypertensive disorder,167,832,3.278366706,4.083235179,0.89278909,0.189431038,0.7556866815389738,1.054765657110393,Other,"Hypertensive disorder: In the case group, 167 individuals (3.28%) had this condition compared to 832 individuals (4.08%) in the control group. The odds ratio is 0.89 (95% CI: 0.76-1.05). This association is not statistically significant with a p-value of 0.18943."
262,Hyperthyroidism,16,67,0.314095014,0.328818218,1.063015346,0.777768618,0.6160489502215212,1.8342724639416552,Endocrine,"Hyperthyroidism: In the case group, 16 individuals (0.31%) had this condition compared to 67 individuals (0.33%) in the control group. The odds ratio is 1.06 (95% CI: 0.62-1.83). This association is not statistically significant with a p-value of 0.77777."
267,Hypothyroidism,940,3751,18.45308206,18.40891245,1.119651966,0.002607596,1.041094545119011,1.2041370602171,Endocrine,"Hypothyroidism: In the case group, 940 individuals (18.45%) had this condition compared to 3751 individuals (18.41%) in the control group. The odds ratio is 1.12 (95% CI: 1.04-1.20). This association is statistically significant with a p-value of 0.00261."
286,Interstitial lung disease,109,459,2.139772281,2.252650177,1.057275371,0.587313719,0.8576468018702416,1.3033701142306724,Respiratory,"Interstitial lung disease: In the case group, 109 individuals (2.14%) had this condition compared to 459 individuals (2.25%) in the control group. The odds ratio is 1.06 (95% CI: 0.86-1.30). This association is not statistically significant with a p-value of 0.58731."
302,Ischemic heart disease,23,90,0.451511582,0.441696113,1.137651568,0.545021605,0.719523278419942,1.7987619427894077,Cardiovascular,"Ischemic heart disease: In the case group, 23 individuals (0.45%) had this condition compared to 90 individuals (0.44%) in the control group. The odds ratio is 1.14 (95% CI: 0.72-1.80). This association is not statistically significant with a p-value of 0.54502."
